reads,mean,sd,max,perc_compl,sd_upr_perc_compl,sd_lwr_perc_compl,max_perc_compl
1020000,382.06,5.56290019556873,395,40.0482180293501,40.6313312573971,39.4651048013031,41.4046121593291
1030000,384.36,4.91240441858334,395,40.2893081761006,40.8042352640025,39.7743810881988,41.4046121593291
1040000,384.92,4.55201143241184,396,40.3480083857442,40.8251584310704,39.870858340418,41.5094339622642
1050000,385.3,5.62012976592699,397,40.3878406708595,40.9769528056527,39.7987285360663,41.6142557651992
1060000,385.07,5.28243707147955,399,40.3637316561845,40.9174462339077,39.8100170784613,41.8238993710692
1070000,385.67,4.93606599173344,397,40.4266247379455,40.9440320746052,39.9092174012858,41.6142557651992
1080000,385.35,5.31507290636732,397,40.3930817610063,40.9502172857827,39.8359462362298,41.6142557651992
1090000,386.64,4.99801980990492,396,40.5283018867924,41.0522033343716,40.0044004392133,41.5094339622642
1100000,387.32,5.34823675276594,398,40.5995807127883,41.1601925317365,40.03896889384,41.7190775681342
1110000,387.49,5.2000291374475,397,40.6174004192872,41.162476848789,40.0723239897854,41.6142557651992
1120000,388.18,4.441266540622,397,40.6897274633124,41.1552690294153,40.2241858972094,41.6142557651992
1130000,389.25,4.56905489420543,399,40.8018867924528,41.2808233641725,40.3229502207332,41.8238993710692
1140000,388.9,4.61114153573996,401,40.7651991614256,41.2485473307903,40.2818509920608,42.0335429769392
1150000,388.6,4.95841290998023,398,40.7337526205451,41.2535024014654,40.2140028396247,41.7190775681342
1160000,390.23,4.45596864504863,402,40.9046121593291,41.371694826525,40.4375294921333,42.1383647798742
1170000,390.77,4.76912418107827,402,40.961215932914,41.4611241279956,40.4613077378325,42.1383647798742
1180000,390.65,4.3330419482452,400,40.9486373165618,41.4028345857699,40.4944400473538,41.9287211740042
1190000,390.9,3.91190877999862,401,40.9748427672956,41.3848960985323,40.5647894360588,42.0335429769392
1200000,391.99,4.59577100290159,402,41.0890985324948,41.5708355348953,40.6073615300942,42.1383647798742
1210000,391.86,4.55498395034261,405,41.0754716981132,41.5529333281282,40.5980100680983,42.4528301886792
1220000,392.31,4.12113302063127,402,41.122641509434,41.5546261027915,40.6906569160764,42.1383647798742
1230000,392.19,4.5564805663489,404,41.1100628930818,41.5876814010848,40.6324443850787,42.3480083857442
1240000,393.04,4.76078255175034,404,41.1991614255765,41.6981952360325,40.7001276151205,42.3480083857442
1250000,393.8,4.98887651569859,405,41.2788259958071,41.8017690268028,40.7558829648115,42.4528301886792
1260000,392.98,4.51256383037762,403,41.1928721174004,41.6658871939599,40.7198570408409,42.2431865828092
1270000,394.98,4.87413291952238,409,41.4025157232704,41.9134311236397,40.8916003229012,42.8721174004193
1280000,394.66,4.54432713291078,408,41.3689727463312,41.8453173095294,40.892628183133,42.7672955974843
1290000,394.45,4.49326094717344,405,41.3469601677149,41.8179518812551,40.8759684541747,42.4528301886792
1300000,395.1,3.9962103260085,409,41.4150943396226,41.8339843109024,40.9962043683429,42.8721174004193
1310000,395.66,4.25267592525606,405,41.4737945492663,41.9195677070499,41.0280213914826,42.4528301886792
1320000,395.61,5.03702453454578,406,41.4685534591195,41.9965434522585,40.9405634659805,42.5576519916143
1330000,396.91,4.29492300703559,405,41.604821802935,42.0550233759995,41.1546202298705,42.4528301886792
1340000,397.26,4.19865298264656,405,41.6415094339623,42.0816198095017,41.2013990584228,42.4528301886792
1350000,396.23,4.30610325613834,406,41.5335429769392,41.9849164838719,41.0821694700065,42.5576519916143
